,reviews
3141,"
Hi. I bought this things 2 days ago.Its average as you'd expect.Mediocre mids and highs.Bass is good tho.The earbuds do not turn off easily when placed in the case. I assume that is something to do with bad design of the case leading to misaligned pins, but at this price I wouldnt expect a good all rounder.Its alright if you need a pair of wireless earphones. Nothing special.Get a jabra if you need a good pair.Hi woman from customer care.
"
3142,"
I used for 10days and it's not working now. There is no service centers except in Delhi. So if you have complaint news to courier to Delhi for repair. And no guarantee it will done because without repair they sent back. And I call executive if need service again courier to Delhi she said
"
3143,"
Well. I would like to write a review on Boult audio powerbuds, Let me tell you that Boult Power buds are sleek and good for wearing on your ears for a longer period of time, But the issue that I have experienced is there are a lot of Connectivity issues on Bluetooth , found that both of the earbuds are not getting connected during important calls or Teams meeting , really regret when your Boult buds start malfunctioning and refuses to pair at the right time , sometimes your left bud pairs up and your right bud just remains dumb until u give a long press and then force it to pair .....Really not satisfied buying this product after much review , Adding to this there is also no indication shown in the box how much it charges when it goes for complete charge or if it is not complete You have to just remove it after 1 or 2 hours assuming that it has fully charged, Other than this there are not much issues that I have faced from this Boult audio buds.......I cannot say its totally vfm..... :-(
"
3144,"
I'm writing this review after 2 months experience+Ve1 - BATTERY LIFE - it give 1 month backup after 1 full charging.2 - Sound Quality - Good , but sometimes it is so loud3 - Noice Cancellation - Good ..4 - Power Bank feature - it actually help me in a emergency situation .. not a backup but it will give some charge in essential situations5 - Look - Standard6 - Build Quality - Good-ve1 - Some lag in sound in some applications - .. Youtube,FB.. etc are ok2 - Sound is bit loud in full volume3 - In rare situations it show some connection problem - but it becomes ok after continues usage.Totally it is value for money
"
3145,"
This is my third Boult Audio earphone. For the price bracket, Boult Audio products are perfect. The power buds are great for someone who listens to music with lot of bass. For someone like me who listens to a mix of songs from Pop, Rock, Jazz, IndieMix etc there are times when I prefer the bass to be lower. Also, I personally found that during jogging the power buds fall off. My ears are small & the buds don't sit snugly. This will be solved with an external accessory of a ear loop. All said and done this is an extremely good product & will suit the needs for most people who are looking for a quality product with an economical cost.
"
3146,"
These cute little buds are the best under this price range. Sound quality is decent. if you are huge bass lover this might be a little disappointing. Noise cancellation can be improved but other person can hear the voice clearly. They would take nano second to respond but otherwise touch controls are really sensitive and works all the time. Volume up and down are a clever way to adjust works absolutely fine. I tested google assistant its really responsive u have press any bud for 2 seconds and ask google whatever u want. These are Sweat proof and won't fall down even when you do intense workouts. They can be little uncomfortable around the edges because of the plastic if u use them for a long time but i guess this is the case for all ear buds so no complaints in that area. They fit in my ear perfectly. I didn't really test water resistance capability but have been using these for almost a week Battery is also impressive and i can say money well spent considering the price range. Thumbs up from my side.
"
3147,"
Don't buy this product. Very worst product for voice call. Can't able to hear voice from other end. Very poor customer service. Today I've spoke with one of the customer care about my product issue. She said, there is no service centre in India. If 1 year got over then we need to throw out. No other service provided by them. What non-sense they're talking. All Boult products will works only for 1 year and after that we need to throw out. Likewise customer care said. When I bought new, within few days I got voice call issue and after sending lot of emails and phone calls, I got replacement. So guy's don't go with Boult product. Think before purchase from this worst brand Boult.
"
3148,"
Totally disappointed with this Boult product, no sound quality, no bass, if you buy once, you must enjoy with this worst one, because there is no option for return or refund, only replacement, but no one like to replace worst one to another worst one, once you buy, you should keep with you and suffer with it. Total money waste, Finally result is, They sell 2400mah power bank for 2200rs
"
3149,"
Buds remain connected even after closing the boxCharging problems... Only one charges at a time.I exchanged it but still not very satisfied.Can connect to only one device at a time.And the multifunctional button doesn't work like shownBut sound quality is good
"
3150,"
I'm going to give a detailed review of this product but first I want you all to know that I've used boat 441 and sony c500 , which are rated as the best one . So , you can say that I have experience of earbuds 😂😂.Pros :1.Youtubers says that this earbuds gives you an average sound quality but that's not true . Its sound quality (overall) is very very better than boat 441 and gives a tough competition to song c500( worth 6000rs.) .2. Huge battery backup . Charge once ( case ) and you can use it for the whole month . I uses these earbuds atleast 6 to 7 hours a day .3. Fits perfectly.  Once they are  putten up in a perfect manner , there's no chance they can fall .4. Build quality.  Earbuds gives you an premium look and there's no funky lights and I like that that they've used lights only for important indicators.5. It doesn't reminds you again and again that your battery is low cause I don't like those repetitions.6 . As makers says that this product is made with IPX7  so I tested it myself , I took a bath wearing them and no single on them , and i trust their water resistivity this much that i can do it all day . And touch sensors works perfectly in the shower too.Cons :Now this product also got some problems with perfection .1. Case build quality: This case is very big in size so carrying it in your Jean's pocket is not a good idea and also the cap of the case is loose .2. Comfort : This earbuds gives you comfort but not so much . I would rate its comfort 3.5/53.Touch sensors : Since its touch area is small , it does not function that much good .3.5/5 and also its functions are quite complicated .4. Connectivity : This earbuds works perfectly when you are little far from the phone but it's my daily routine to take my dogs on walk and I sees a huge lag in the connectivity between my phone and these earbuds even when my phone is in my side pocket .These are some things I wanted you all to know . I would highly recommend you these beasts which are perfect for me and for you too . Best buds I've ever seen.
"
3151,"
This is truly worth the price. I was seeing the negative rewiews and was vary of buying the same. But I decided to go for it.Result: Extremely good, without any flaws. I don't know why the reviews are negative because the quality is awesome. The warranty of 1 year makes it worthy to buy. The bass is good and it comes with buds(the ear buds- rubber) of different sizes so there is notice cancelation according to requirement. The bass is up to the mark. I was using Bose Soundsport which was worth 18k. It broke recently and I thought of not ape ding too much this time. And to my surprise the sound quality is a s same as Bose, never expected, now I regret why didnt I find this earlier. Do not see the negative reviews and 100% go for it. Its worth the pruce
"
3152,"
Sound Quality: Excellent. Clear Sound at low and high volumes. Bass Quality: Amazing. Not too strong, not too weak. Noise cancellation at high volumes is very good. Battery Life seems good. Case is bulky due to high power capacity. Pairs easily. Easy to use. Touch controls are good and quite sensitive. Google assistant works well. Voice recognition is good even when whispering. Charging Cable is very short.Only complain: Silicon cover over charging plugs is slightly loose which will loosen more over use. Hard cover would have been better.
"
3153,"
Dont buy any boult audio product.After sale service is really bad, I sent my TWS for service twice but didn't get any service. I got the same tws as I couriered my tws, They didn't fix my tws and they didn't change my tws either.Guys dont buy boult audio products. Or guys mera around 250 rupees ka kharcha hua courier karne mein or 1 and half month ka time bhi waste hua. Ab choice aap logon ki hai buy or not, any boult audio product.
"
3154,"
Cheap Sound QualityReally Poor on call sound (other person cannot hear you speak anything)Bluetooth disconnects frequently automatically.battery backup is niceDesign is niceBut it lacks the main usage of earphones.Better go for Boat.Edit- after 3monthsSound keeps crackingSound quality is too poorDischarges quicklyRegret wasting my money on this.
"
3155,"
Paid ₹1,999/- for this pair of ear buds.  Full confession: I'd never used bluetooth earpods before.  Mostly I needed this for making calls (work calls on Zoom, etc., and phone calls).  Sometimes listen to music, or watch a movie.  For calls: sound quality is perfect, but audio quality clearly not as good as the built-in microphone in a MacBook.  On the phone, sometimes the bluetooth connection is automatically lost (but happens very rarely).  I am very satisfied with these earbuds for phone call usage.  For music and movies: sound quality is acceptable, but I know could be better.  The case is plastic, light, small (can go into your trousers, or inner jacket pocket of your blazer, and causes no inconvenience), holds a good charge, and doubles up as a power source to charge your phone on the go.These earbuds won't blow your mind.  But they are sturdy and they work.  A working man's pair of bluetooth earbuds.  Gave me good value for money.
"
3156,"
Not comfortable to wear. If you want to run/jog - it keeps falling down. Doesnt properly sit. Have tried all 3 sizes.Sound quality is not good. Bass is worstconnectivity between multiple devices doesnt happen smooth.Charger is good. Durable for long time.
"
3157,"
I have Galaxy Buds, Airpods, Samsung Active Level, also Pebble head phones but these Powerbuds exceed the expectations to manifolds. In this much amount you are getting awesome sound and free from the tension to charge it again and again. I use it to my gym and I am so so so happy to have these. Never running out of battery. Amazing product. Worth every penny
"
3158,"
It's a very good product and its best thing is its battery life, its very huge and works for 4-5 days if you use regularly and the bass is also very good but you cannot use it for gaming because there is a voice drop and the charging case has a in-built power bank in it and the case also works for a long time, I am reviewing it after 1 month and the earbuds also fits perfectly in your ears. I would recommend it for you if you want TWS earbuds, must buy.
"
3159,"
I got my product delivered in two days despite the lockdown. I faced some connectivity issues as my left earbud used to get disconnected every once in a while. I ordered for a replacement and Amazon brought me a replacement in two days and picked up the unit I wanted to return from my doorstep.Got it on Friday and I'm writing This review on Monday evening after using the earbuds on and off for three days. I'm yet to charge the main case . And my earbuds give me a backup of around 5 hours in one go . Must say I'm satisfied with the battery backup so far.For the price range 2.5k , this offers good sound quality . Highs mids and the lows are pretyokay sounding with decent bass. Would have sounded better with AptX.The touch response is decent and I love that I can use it to change volume, play/pause and next/ previous track.I can use either left or right earbud alone which is convenient.And let me address the latency issue.For Normal music and video playback this is good.Not at all suitable for PUBG.Let me mention it here because I looked to see if there were any reviews talking about the latency while playing PUBG.I play a lot of PUBG and I still use my wired earphones for it.Overall I'm satisfied with the productIf you're looking for a budget earbuds with good sound quality and amazing battery backup, this is definitely an option.
"
3160,"
I liked the quality of the product but its really not that comfortable to wear for long time. Battery backup was good but the touch buttons do not work properly specially when you need it. The sound quality is not that great but at this price tag almost all bluetooth headphones will sound like that only. So overall its a good buy for a price range of 1800. All the best!
"
3161,"
Hello Everyone, I have received this product and after a heavy usage, found all PROS and No CONS which are helpful to the new buyers.Superb Deep Bass is wonderful and we would definitely love Music. A good battery backup is required and it can be possible with this product. Also the build quality is good and the charging case has TYPE C which is actually useful. I hope my suggestion would help you guy's.
"
3162,"
The quality of the sound is not at all upto the mark. The money that you pay are paying is not at all as per the expectations. I love quality sound and I am a gadget, games and movie freak. So, I know what quality is. Bass is negligible. Sound clarity is good but it's too loud and will cause a headache. Moreover the case doesn't pair with the buds properly. Lights signalling the charge percentage doesn't work properly.
"
3163,"
They should remove term ‘Bass’ from these buds. I am using these buds with iPhone 11.- poor bass- bass gets distorted at high volume- weak volume. Even at max volume you would feel it is less.- touch gestures are too sensitive.- a few hours after delivery, one of the buds was not delivering any sound.All in all, I feel it is highly overpriced for the quality. A fair price would be ₹1,000-1,200.
"
3164,"
1. Putting back into case doesn't switch off earbuds2. Touch command do not work as expected3. Sound quality is crap and not loud4. Inconsistent behavior5. NON RETURNABLE PRODUCTBasically nothing advertised works perfectly. I returned it once and even the replacement was faulty.Noise shots X5 Pro is a better option or the JBL infinity.
"
3165,"
One of the worst product I ever bought. More hype.Road side headphones/ products are better than this product.1. No bass at all.2. Difficulty in pairing both earpods.3. No noise cancellation4. Cannot use for calling, recieved/caller never listens volumes are very very low.There is no refund on this product.I request you to go for only known brands.
"
3166,"
I like sound quality, I always trust Amazon's review this time there no description that noise cancelation is available for music only not for calling my main purpose was 5o buy this product for calling only. I have ordered this product to make calls, as I'm working from as a freelancer and sometimes there is a lots of noise behind due to house hold chores, like cleaning utensils, dusting furniture etc.. over the call it catches surrounding voice, I have called my couple of clients and they were not able to listen anything, I had to turn off my room fan had to keep the environment Pinedrop silent to complete that call. It's only good for listening music. I have reaserched alot to buy the best noise cancelation ear buds,  also Amazon shouldn't confused buyers, it's showing 3.9 stars for noise cancelation that for music only not for calling
"
3167,"
Writing this after about a month of usage.The overall build quality and sound is quite good for the price range. I had been using jbl and bought this as an experiment and it fulfills the purpose.There is no noise cancellation as far as i know, but the design make interference minimal.Battery life is good. Have used for 5 hour long stretches.Sound lag occurs sometimes which needs you to put the left plug back in box and allow it to re pair with the right one. Dont think it is an issue. Will use some more to understand.Touch is quite sensitive and would take a little while to get used to especially while recieving calls.Warranty registration was online without any issues.All in all a good buy at this range.
"
3168,"
Best in Battery Charge !All most a Day full , I tested watching Movies and By musiq , Stand By for Calling Purposes, The Quality also Good.It really Shows a Good Performance !The Reverse Charging also A Nice Feature!I charged my phone with that Power Bud Case.Overall The Best in all requirements.
"
3169,"
I purchased for calling purpose and it was showing noise cancellation feature but in reality ASN does not work in it. Plus there is issue in auto connection and clear voice. One should avoid it. It can be used for listening songs or watching movies only. Disappointed not recommended for anyone looking for call purpose
"
3170,"
The buds fit in the ear properly. There are 3 size of cuffs and one of them will fit for sure. Clear bass and good sound quality given the price range.with medium to heavy use, the buds lasts about 5-6hrs on one charge. The charging case has enough juice to last for another 3-4 full charge.I didn't had to charge the case for a full week with medium usage. That's and excellent feature.Also they fit well inside the helmet as well. So wearing the buds while riding is comfortable.overall very satisfied with the purchase. worth the money.
"
3171,"
This tws is very useful for me and it's a very good choice while comparing other brands and iam very lucky to buy this on offer price at rs.1500 and the sound quality and the whole process we can change through touching the earbuds we can change the music,calls or whatever.. And especially charging case and battery is very helpful and it helds large amount of battery percentage And I have only one cons as my opinion the charging case is little big and it cannot fits in the pant pocket and it's look weird inside the pocket,and I understand why is so big in size for the battery purpose ok that's fine in future products the boult brand came better for my cons  think so....And thankyou for this awesome product from boult ❤️
"
3172,"
The shipping carton was bent from side. Seal of the the outer box was broken from one side. Boult Budcase has scratches on the top side body. Right side earpiece doesn't fit in the charging socket properly.Update - I received a replacement with the similar scratchy black box. Also this time the pods were unable to charge as they dont fit properly in the sockets. Magnetic locks dont hold them properly. Need these replaced as well.
"
3173,"
A couple of days ago after I had my 1st purchase of Boult Audi AirBass PowerBuds, I had a chat with a customer service executive Ms. Neha K who had issued a ticket for change of the said Airpods, due to only 1 defect and that was when I had to change the song to next, I was supposed to press the right Earbuds for 2 secs and the same process was to be followed for going back to the previous song. But to my surprise, the changed product, which I received yesterday consists of the same defect ! Now what to do ? We trust Amazon,  and this is not only the first time I've purchased through Amazon, but I am a regular customer. Please help me again by replacing the product, otherwise I'll have to approach consumer forum. Thanks
"
3174,"
Worst customer service if we face any issue with the product company don't have pick up facility. We have to courier on our expense.noice cancellation is zero.not comfortable size is too big.extra silicon buds not receive with the product. I am not happy with the product.
"
3175,"
Purchased on 4/11/2021 reviewing it after a couple of days of usage. Design looks stylish and premium. Especially the LED on buds look awesome. Following are my observations.Pros:* From the date of purchased i charged the case only 2 times, Battery Back up is too good 10/10* Ear bud battery is also good 8/10* Sound is also Good 8/10* Easily fitted on ears.* Lightweight* No connectivity issues found as suchCons:* On call, quality is worst, Other side can't get your voice clearly. facing voice issues.* Touch sensitive is too much sensitive, not able to adjust the earpiece while in an active call. Touching anywhere in the earpiece while in a call has cut the call most of the time.* Charging case is bit heavy* Difficult to manage between voice assistant and volume adjustment.Overall it's a decent product within its price range, but for calls you should not go with it.
"
3176,"
1. Battery obviously, the buds itself has a battery of 45mAh and the case has 2200 mAh of battery.2. The charge in the buds lasted for 6 hours. Superbly liked.3. The logo on the buds lights up and trust it looks awesome!4. The case open and pair feature works fantastically.5. Very very comfortable to wear for long hours.Very nice product ! Go for it !
"
3177,"
I've been using boult twinpods for the past two yrs which has poor build quality but the quality of bass and sound were on point and recently I lost it and so I bought this product ....I  seriously didn't have not much expectation bt still I'm super disappointed and my trust has been broken🥲Build quality was great ngl bt the sound and bass it hurts every time 🥲I was unable to have the product in my hand for 8 days cause I got struck due to some issues and so the return/refund time limit elapsed 🥲The latency is low compared to boat airdopes 441 bt if you're looking for good sound and bass .... just buy the boat airdopes 441 or 441pro
"
3178,"
The design is not as expected to fit in th ears, despite changing the bud rings.Good :The charging is good and last long. The found quality is good, effective and awesome. Good to use it only for ear bud charging only.Not so good :The inbuilt power bank is not effective as it gets heated up when the mobile is connected to charge. Refinement is required.
"
3179,"
Sound Clarity Is Really Good...Balanced Vocals , And Not Supressed By Heavy Bass.Bass Is Deep And Not Distorted ,  You Can Feel It In Your Eardrums.Easy To Carry And Premium Looking Finish.Battery Life Is Descent...If you're a 9 to 5 worker then it's a great deal for you. In a single charge it can run your music whole day whenever you want.I didn't used it as a power bank so no comments on that.IF YOU LIKE TO HEAR CLEAR VOCALS AND BASS THEN IT'S FOR YOU...ATTENTION :- 💀NOT FOR LOUD LISTENERS💀
"
3180,"
Why the call it Bass . Sound of mic appreas ok but very sensitive . Mabe to sensitive for loud areas and videos.  The Sound quality feels tin like and flat Base is terrible no kick no feeling . Very strange Sound personally not upto the mark at all for the supposed price of 9k ... bought for 1999. But I think boat is much better quality ...Also head phones get hot after charging ... Will try it for a day but likely I will send it back .
"
3181,"
•Got a defective one and returned for a replacement.•The second one also doesn't work properly.•Sometimes they don't get charged despite keeping in the case for hours.•People often cannot hear me clearly or at all on phone conversations•They don't work despite being fully charged and connected to phone. One side or both fail to deliver sound frequently. It's super annoying
"
3182,"
I ordered this product thinking that i was somewhat unlucky with the first time i ordered it as it was a defected piece. I got it replaced and the replaced one's also got defected in 2-3 days. The sound quality and bass is also not satisfying. Noise cancellation doesn't work at all. So plz don't by boult, buy sony. They are a hundred times better.
"
3183,"




                    The media could not be loaded.
                



 The bass is below par, the sound is too weak. Overall a Rs 500 worth  product. And to top it, I was delivered a defective piece( The right Earpod was defective and not working) .See the video to believe me.
"
3184,"
Bought these about two months ago, have been using them regularly since, the powerbuds are pretty great. The ear takes some getting used to the size of it, but not too much of a hassle.The controls are tricky to get a hang of though, on very long calls I inevitably end up cutting the call once because the tap section is quite sensitive.So this was all the good.Now comes the REALLY BAD PART - Their customer service. Oh my god. They are like stalkers.They ask you to call on a number to register the warranty of your product, and once you do that, you have hell to pay, because people start HOUNDING you to give them a (positive) review. To a point where they will call you 3 times a day and eventually beg you because apparently they get paid per review.I really regretted buying the product 7 days after getting it because from day 2 till 7, I had gotten more than one call a day asking about the product and to review it. Eventually had to block the number for some peace of mind.If you can deal with the hounding, I'd recommend the product. If I had to do it all over again, knowing this would happen, I probably wouldn't.
"
3185,"
After using for a week i can summarise the review. Its sound quality is really good. Bass is good at moderate volume. Noice cancellation can be improved little bit. You can wear this headphone whole day and you fill no irritation. Its light weight and easy to fit in ears. Its battery is staying upto 6 hours in music and call. Its case is like itself a powerbank. Its like never loosing battery of the earbuds. Both are working as masters so you can use any one at a time. Also as soon as you open lid of the box it will get connected to the device. At last its really great product in this price range.
"
3186,"
1-earbud jaisa socha tha waisa bilkul bhi nii hai2-earbud jab ear me lagao toh kuch der bad ear me pain hone lagta hai..kyu ki Boult walo ne jaisa apne product pe bataya hai ki .gym time-runing time koi dikkat nii hogi comfertable rahe ga..but aisa kuch comfertable mujhe nii laga.3-base itna bekar hai jaise 1800 ka earbud nii 300 ka ho4- noise cancellation k bare me jaisa Boult walo ne bataya ki nii ap jab call pe rahe ge toh bahar ki horn ya publicy noise nii aye gi but aisa mujhe kuch nii samajh aya..5-jaisa inhone bataya battry backup thik hai but kabhi 40% raheti hai kabhi 50% ho jta hai.or jaisa iske pot me bataya gya ki powerbank hai isme bhai aj ka new janration k mobiles hai. Fast charger wale ..toh agar ap Boult walo ap aisa manufacturer kiya hai toh usee 50%toh fast kar dete ..mere pass OnePlus 8 hai main pot k charger me lagaya toh..2%me pot ka charge hi khatam ho gya..6-Boult company ab ap se kya opactcha karu bas 1 sal sahi se chal jye yahi opactcha karte hai..ni toh alag se iske. Bare me feedback dunga
"
3187,"
▪︎Awesome ""sound quality"" and a clear ""bass quality"" but i won't recommend for online classes like zoom or Google meet.▪︎The call clarity and noise cancelation is also perfect.▪︎The touch controls works efficiently for limited apps.▪︎While watching movies I Can feel a bit lag for 2 seconds and works normally again .▪︎Good and easy touch controls only for mobile and tab.▪︎I guess its been 8 days since i start using,the battery is still 100%.▪︎Guys importantly don't be scared after reading single star negative comments under this product.▪︎Even I was scared to buy seeing those comments but i truly got a nice product from AmazonSO GO FOR IT...!!
"
3188,"
The buds look nice and fit well in my ears. The touch controls work like a magic for me, I use it the most. The call quality is okay and expected at this price range.The buds claim passive noise cancellation with I believe is somewhat okay but not great.The sound quality is very good as per the the price segment. The sound is crisp and clear, vocals are great. The bass is okay and not over powering.Battery is great! They ran for hours! Case is strong..gets dirty quick though.I currently owned the China version of the Redmi Airdots and this is definitely an upgrade!Overall satisfied.
"
3189,"
1. Nice build quality, but cannot fit in ear perfectly somewhat big in size.2. Sound is not loud but enough for safety measures.3. Bass is not that great but it is Ok at this price range.4. Power Is great, it can be long backup continue using ~12 hrs in a single charge. You can go 15 days without any charge with Case for an average 5~8 hrs a day use.5. Best in price range 1500~2000
"
3190,"
Customer service is totally unavailable. I tried to contact them through various channels, but did not get any response.So don't expect any service like repair, warranty  from boult audio as they will not respond.
"
3191,"
Believe me guys just go for it. Don't think too much it's a total value for money product. Even better than a 4 thousands bugs earbuds available in market.  And it's battery life is just awesome...even buds last for about 9-10 hours in my usage I always listen music 30 to 40% level incresing above to 40% is too high for me.... Don't get me wrong... The sound quality is also decent even on 95% volume and even on 100% sound quality doesn't flatuate..... Thumbs up for boult audio from my personal good experience...... 👍👍
"
3192,"
𝘐𝘴𝘮𝘦 𝘬𝘣𝘩𝘪 𝘦𝘬 𝘮 𝘢𝘢𝘸𝘢𝘫 𝘢𝘢𝘵𝘪 𝘬𝘣𝘩𝘪 𝘦𝘬 𝘮𝘢𝘪𝘯 𝘥𝘰𝘯𝘰 𝘮 𝘢𝘤𝘩𝘢𝘯𝘢𝘬 𝘢𝘢𝘫𝘢𝘸 𝘢𝘢𝘳𝘪 𝘬𝘣𝘩𝘪 𝘦𝘬 𝘮 𝘯𝘪 𝘢𝘢𝘳𝘪 ..𝘱𝘩𝘰𝘵𝘰𝘴 𝘮 𝘪𝘴𝘬𝘪 𝘥𝘦𝘵𝘢𝘪𝘭𝘴 𝘬𝘶𝘤𝘩 𝘰𝘳 𝘩 𝘢𝘤𝘵𝘶𝘢𝘭 𝘮 𝘬𝘶𝘹 𝘰𝘳 𝘣𝘢𝘵𝘵𝘳𝘺 𝘱𝘦𝘳𝘧𝘰𝘳𝘮𝘢𝘤𝘦 𝘣𝘩𝘪 𝘣𝘦𝘬𝘢𝘳 𝘩 𝘭𝘪𝘬𝘩𝘢 𝘩 𝘬𝘶𝘹 𝘩 𝘰𝘳 𝘱𝘦𝘳𝘧𝘰𝘳𝘮𝘢𝘤𝘦 𝘬𝘶𝘹 𝘰𝘳..𝘈𝘶𝘵𝘰𝘮𝘢𝘵𝘪𝘤 𝘨𝘢𝘢𝘯𝘦 𝘤𝘩𝘬𝘵𝘦 𝘤𝘩𝘭𝘢𝘵𝘦 𝘰𝘧𝘧 𝘩𝘰 𝘫𝘢𝘢𝘵𝘢
"
3193,"
I observed that the design of the product is really good. It comes with different sized ear piece including the one attached in the device. Still the Boult falls now and then from our ear. The design can be further improved. I observed that with phone, the connectivity is good, while, with computer, the device is connectivity is not that great.
"
3194,"
Very good built quality, good battery with around 4 hours of play time on the buds with one charge. I fully charged the case a day ago and charged the buds twice till now and the battery indicator on the case still shows full. Sound quality is also very good only downside is bass is a bit underwhelming, don't get me wrong there is bass but it's not the boom boom stuff. One more downside is the touch control on the buds is hyper sensitive, it just needs a touch of your cloth or cap. I got the Boult power buds for 1999 INR with the lightning sale discount so I am extremely happy with it because of the very good sound quality and battery life. However at the listed price of 8k I wouldn't be happy with underwhelming bass and glitchy touch control.
"
3195,"
I received this product on 11 July 2021PCase is not so big n heavy as it looksCase n air pods build quality is very goodThe air pods quickly connects as you open the CaseSound quality is good but not very loud bassBattery can stay upto 4 to max 5 hourGuesters work excellent but for increasing/decreasing sound you have to press ear pods for 4 sec or else goggle assistant will wake upYou can easily walk in your room upto 10mt after that it gets disconnectedThis air pods don't fall from your ears as I try to shake it many time after wearingIt fits perfectly as when u are listening the song u can't hear the voice much of next person sitting close to youCalling quality is also very good as next person on the call can hear you properlyBut outdoors in traffic area another person on call can hear background noises clearlyIt's a very good product in this range as it is waterproof , comes which increasing and decreasing sound and also with a power bank of 2400 mh which can charge your mobile in any emergency
"
3196,"
This is a SOLID product, very compatible with many devices, sound quality is good, case acts as a backup charger as well, battery backup is really god, ear fit is good, you can use single bud also at onetime, open the case and automatically connects to device.So many features, I really love the product and recommend this to other.P.S: I have 2 Boult Curve Bluetooth also bought for family members.
"
3197,"
This is my first time having fully in ears so I don't have much of a comparison against the others, but as a person who's been using wireless headphones for a while these ones are great! I've only used them sparingly in times when I need to exercise or I have to have myself truly free without having something around my neck, or hanging down, and they live up to the name! The battery is truly ridiculous on the charging unit, I even tested charging my phone from the charging unit and it works even though it doesn't do dash charging it still serves as a valid source of power in the case of emergencies. As for the headphones themselves their noise canceling isn't that great but I need to be aware of the outside world at times so they have the perfect amount of noise canceling for me to still be aware of what's happening around me.Buy it if you want,the battery itself should be enough of an easy reason, and the sound quality is great!
"
3198,"
This is my first product from Boult. Let me give a slight brief that the company Boult Audio and Boat both are indian brands.Now, coming to the product Boult Audio Airbass Powerbuds.Better than its predecessor Boult Audio Airbass TrueBuds in terms of:1. Battery obviously, the buds itself has a battery of 45mAh and the case has 2200 mAh of battery.2. The charge in the buds lasted for 6 hours approximately,In my use.3. The logo on the buds lights up in blue color while charging and blinks white when charged fully. And trust it looks awesome!4. the case open and pair feature works fantastically.5. Very very comfortable to wear for long hours, a very optimal improved design than its predecessor.6. The box suprisingly is not that big and bulky as it seems here in the pictures.7. The audio is fantastic. The bass is up to mark. No complaints. Sound is loud and clear, overall a very impressive sound for indian audiophiles.8.call quality is good. It do register surrounding noises but the main voice is registered appropriately and loud.9. The front pannel of the case has the ""Type C"" port for charging and ""Usb A"" for charging your phone as it can act as a powerbank also.10. Latency while playing pubg is not that much. The game is playable.11. Touch controls works fine.Now some cons:1. No mention of driver size here in the manual.2. The case quality is good. But the lid feels a little loose. Dont get me wrong the build quality is good but its just the lid which is a bit loose.Thats it!The product is very much recommendable. Just Go for it!
"
3199,"
The buds are good according to their price. I don't know how it might perform in a long run.Pros:1. Battery backup is really good2. Fast bluetooth connectivity3. Touch controls are ultra sensitive4. The sound is pleasant for long time users.Cons:1. Sometimes one bud get connected instead of two. Again we have to put it back in the box and again reconnect it.2. Noise cancellation is ok not excellent.3. Difficult to understand the blinking led system sometimes.
"
3200,"
There is only one service centre of Boult and tht is in Delhi. Product has most common issue of not working one of the pair and for that you need to bare 200/300 courier charges and they have a robot chat to answer your questions. Very disappointed with the service.I would recommend not to buy this brand and select another one.
"
3201,"
They are very good Earbuds. Nice Audio, Bass & Quality is top notch. One star less because it hurts your ears after 1.5 hour of usage. All touch controls working excellent and very responsive also. Battery seems to be going on and on. I have charged it only once in a month and listen one hour of music everyday and there is still 70% + battery remaining. Thanks Boult & Amazon.
"
3202,"




                    The media could not be loaded.
                



 The airbuds don't pair with each other.Only right earbud is working.As u can see in video . White light is not blinking on left earbud.It's a faulty product. This seller should be banned for selling fake products and wasting customers time n money .
"
3203,"
Pathetic microphone, I only bought this because it mentioned that microphone quality is superior.Very disappointed.Opened the product after 7 days and hence customer care refusing to retrun or replace it.Update - Boult replaced the product but with a damaged box and the voice quality is still pathetic.For listening its fine but for calling the mic keeps on omitting a few words every 10sec, as if my i am moving farther to the earbuds and then coming closer to it, like a wave.This is beyond my patience, local Chinese earbuds perform better. Not a brand any1 should trust
"
3204,"
The sound quality is the same as 1000ish wired earphones, but the 120 hour long battery life and convenience of true wireless is worth it in this price.It's not perfect, gesture controls are bad, I had some trouble with connectivity during phone calls, but otherwise this is a great purchase.
"
3205,"
I purchased this on 15th of December 2020. Its been merely three months of purchase and the buds have stopped functioning due to charging malfunction. I am going to call customer care but thats not the point. I expected the buds to function for more.
"
3206,"
I am purchase this product in rs. 2199. After the delivery it's both doesn't pair with mobile and only one is in working condition. Some time both are paired but again only one was working. I am doing all possible for pairing but problem could not resolved. Then I was returned the product and after two days I am received a new product of that earbuds, but sadly they are also not working properly. Yes the both pairs are paired with phone and working good but touch sample not working properly. My experience with earbuds not good , but here is mentioned that the amazon will help properly and I got my money with in two days after cancellation of this order.
"
3207,"
A Wonderful product in this price Tag. Sound Quality is superb. Noise cancellation is very strong that u don't listen even people talking in front of you. I like this product.Reverse charging is very useful when u need a immediate backup. Battery is very long lasting...Boult have to work on Volume issue i.e. I am facing issue when I have to increase or decrease volume through touch...Please do little more work on it  TEAM BOULT
"
3208,"
In my point of view useful of the product is ""very nice high quality "" of sound and fully noise cancelling. Then says about the quality is best to best overall ""buy the two are more two times for my relatives and friends of it. I really thank you for best product given with affordable price very nice. I wishes your products may get more sales for earn best customer.
"
